InvoiceNo,InvoiceDate,DealerName,PaymentDate
100144,21-01-2020,1184,14-03-2020
100145,10-01-2020,1369,03-02-2020
100146,07-01-2020,1426,03-03-2020
100147,18-01-2020,1639,05-03-2020
100148,08-01-2020,1645,25-01-2020
100149,29-01-2020,1226,15-03-2020
100150,21-01-2020,1561,17-02-2020
100151,25-01-2020,1202,17-02-2020
100152,26-01-2020,1643,03-03-2020
100153,18-01-2020,1249,26-01-2020
100154,22-01-2020,1629,23-02-2020
100155,19-01-2020,1533,24-02-2020
100156,19-01-2020,1119,19-03-2020
100157,12-01-2020,1098,05-03-2020
100158,22-01-2020,1263,23-02-2020
100159,31-01-2020,1539,23-02-2020
100160,24-01-2020,1201,27-02-2020
100161,01-01-2020,1344,12-02-2020
100162,09-01-2020,1153,14-02-2020
100163,15-01-2020,1208,05-02-2020
100164,10-01-2020,1252,21-02-2020
100165,02-01-2020,1373,25-02-2020
100166,15-01-2020,1480,08-02-2020
100167,23-01-2020,1012,06-02-2020
100168,12-01-2020,1323,09-02-2020
100169,27-01-2020,1189,06-03-2020
100170,01-01-2020,1386,13-02-2020
100171,28-01-2020,1025,17-03-2020
100172,27-01-2020,1400,14-03-2020
100173,09-01-2020,1245,31-01-2020
100174,03-01-2020,1353,20-02-2020
100175,18-01-2020,1181,31-01-2020
100176,22-01-2020,1194,08-02-2020
100177,27-01-2020,1484,14-03-2020
100178,27-01-2020,1397,25-03-2020
100179,03-01-2020,1343,02-02-2020
100180,09-01-2020,1430,25-02-2020
100181,26-01-2020,1413,19-03-2020
100182,20-01-2020,1143,15-03-2020
100183,29-01-2020,1410,26-03-2020
100184,01-01-2020,1576,08-01-2020
100185,28-01-2020,1144,12-02-2020
100186,13-01-2020,1565,23-02-2020
100187,16-01-2020,1479,24-01-2020
100188,11-01-2020,1597,25-02-2020
100189,20-01-2020,1509,04-03-2020
100190,14-01-2020,1211,14-02-2020
100191,31-01-2020,1563,28-03-2020
100192,20-01-2020,1096,18-03-2020
100193,11-01-2020,1586,03-02-2020
100194,14-01-2020,1370,13-02-2020
100195,07-01-2020,1480,15-01-2020
100196,19-01-2020,1448,14-03-2020
100197,06-01-2020,1489,04-03-2020
100198,15-01-2020,1630,02-03-2020
100199,20-01-2020,1092,06-03-2020
100200,23-01-2020,1382,02-03-2020
100201,28-01-2020,1447,28-03-2020
100202,31-01-2020,1124,07-03-2020
100203,01-01-2020,1082,18-01-2020
100204,20-01-2020,1457,05-03-2020
100205,02-01-2020,1237,02-03-2020
100206,09-01-2020,1423,06-02-2020
100207,03-01-2020,1018,30-01-2020
100208,10-01-2020,1510,01-02-2020
100209,21-01-2020,1368,16-03-2020
100210,29-01-2020,1516,17-03-2020
100211,17-01-2020,1616,04-02-2020
100212,14-01-2020,1090,23-01-2020
100213,05-01-2020,1627,16-01-2020
100214,03-01-2020,1451,03-02-2020
100215,11-01-2020,1124,28-02-2020
100216,09-01-2020,1435,01-03-2020
100217,03-01-2020,1001,19-02-2020
100218,14-01-2020,1543,23-02-2020
100219,05-01-2020,1259,05-02-2020
100220,16-01-2020,1494,02-03-2020
100221,09-01-2020,1050,03-03-2020
100222,05-01-2020,1544,23-02-2020
100223,27-01-2020,1579,27-02-2020
100224,04-01-2020,1325,11-01-2020
100225,02-01-2020,1091,19-01-2020
100226,01-01-2020,1276,21-02-2020
100227,07-01-2020,1423,22-01-2020
100228,26-01-2020,1226,22-03-2020
100229,22-01-2020,1454,11-02-2020
100230,29-01-2020,1614,20-03-2020
100231,22-01-2020,1048,06-03-2020
100232,29-01-2020,1147,13-03-2020
100233,02-01-2020,1199,31-01-2020
100234,20-01-2020,1498,22-02-2020
100235,03-01-2020,1016,02-02-2020
100236,07-01-2020,1637,26-01-2020
100237,29-01-2020,1271,21-02-2020
100238,04-01-2020,1187,29-01-2020
100239,07-01-2020,1108,16-01-2020
100240,08-01-2020,1501,10-02-2020
100241,12-01-2020,1090,03-02-2020
100242,01-01-2020,1013,09-02-2020
100243,07-01-2020,1313,17-01-2020
100244,01-01-2020,1466,15-01-2020
100245,08-01-2020,1023,03-02-2020
100246,01-01-2020,1616,28-01-2020
100247,11-01-2020,1237,28-01-2020
100248,13-01-2020,1466,28-01-2020
100249,22-01-2020,1618,12-03-2020
100250,29-01-2020,1235,14-02-2020
100251,02-01-2020,1510,18-02-2020
100252,14-01-2020,1331,07-03-2020
100253,07-01-2020,1516,26-01-2020
100254,10-01-2020,1646,18-02-2020
100255,22-01-2020,1012,13-02-2020
100256,27-01-2020,1374,10-02-2020
100257,17-01-2020,1611,12-03-2020
100258,26-01-2020,1329,16-03-2020
100259,10-01-2020,1216,21-02-2020
100260,19-01-2020,1600,26-01-2020
100261,19-01-2020,1226,20-02-2020
100262,29-01-2020,1426,12-02-2020
100263,30-01-2020,1451,15-02-2020
100264,30-01-2020,1309,24-03-2020
100265,26-01-2020,1407,08-02-2020
100266,15-01-2020,1330,09-03-2020
100267,13-01-2020,1628,24-01-2020
100268,23-01-2020,1150,25-02-2020
100269,09-01-2020,1634,22-02-2020
100270,20-01-2020,1198,02-02-2020
100271,04-01-2020,1600,29-01-2020
100272,31-01-2020,1281,12-03-2020
100273,25-01-2020,1408,12-03-2020
100274,05-01-2020,1244,12-02-2020
100275,14-01-2020,1144,24-02-2020
100276,01-01-2020,1502,11-02-2020
100277,23-01-2020,1321,03-03-2020
100278,21-01-2020,1512,15-02-2020
100279,07-01-2020,1504,29-02-2020
100280,31-01-2020,1568,12-02-2020
100281,31-01-2020,1531,19-03-2020
100282,06-01-2020,1324,15-01-2020
100283,24-01-2020,1027,08-02-2020
100284,13-01-2020,1341,07-03-2020
100285,09-01-2020,1231,20-01-2020
100286,30-01-2020,1536,12-02-2020
100287,16-01-2020,1082,08-03-2020
100288,08-01-2020,1272,15-02-2020
100289,31-01-2020,1457,23-03-2020
100290,07-01-2020,1449,26-01-2020
100291,08-01-2020,1420,25-01-2020
100292,31-01-2020,1315,17-02-2020
100293,30-01-2020,1426,19-02-2020
100294,10-01-2020,1159,02-02-2020
100295,14-01-2020,1209,22-02-2020
100296,15-01-2020,1581,13-03-2020
100297,07-01-2020,1214,30-01-2020
100298,27-01-2020,1536,06-03-2020
100299,25-01-2020,1039,24-02-2020
100300,21-01-2020,1129,31-01-2020
100301,31-01-2020,1172,20-03-2020
100302,21-01-2020,1151,26-02-2020
100303,25-01-2020,1138,29-02-2020
100304,11-01-2020,1330,30-01-2020
100305,08-01-2020,1033,03-02-2020
100306,05-01-2020,1440,23-02-2020
100307,14-01-2020,1090,22-02-2020
100308,26-01-2020,1101,18-03-2020
100309,24-01-2020,1586,13-03-2020
100310,30-01-2020,1491,10-02-2020
100311,07-01-2020,1407,10-02-2020
100312,04-01-2020,1354,18-02-2020
100313,07-01-2020,1157,22-02-2020
100314,01-01-2020,1455,16-02-2020
100315,12-01-2020,1208,09-02-2020
100316,27-01-2020,1621,04-03-2020
100317,13-01-2020,1511,25-02-2020
100318,16-01-2020,1526,06-03-2020
100319,27-01-2020,1237,10-02-2020
100320,04-01-2020,1201,13-01-2020
100321,15-01-2020,1108,15-03-2020
100322,04-01-2020,1305,25-01-2020
100323,07-01-2020,1360,14-02-2020
100324,12-01-2020,1242,20-02-2020
100325,13-01-2020,1575,20-02-2020
100326,13-01-2020,1385,28-02-2020
100327,20-01-2020,1539,18-03-2020
100328,30-01-2020,1389,27-02-2020
100329,29-01-2020,1173,12-03-2020
100330,21-01-2020,1597,01-03-2020
100331,25-01-2020,1281,24-02-2020
100332,05-01-2020,1194,31-01-2020
100333,20-01-2020,1223,15-02-2020
100334,18-01-2020,1375,02-02-2020
100335,23-01-2020,1582,11-03-2020
100336,04-01-2020,1225,21-02-2020
100337,17-01-2020,1553,13-02-2020
100338,26-01-2020,1648,14-02-2020
100339,19-01-2020,1116,04-03-2020
100340,26-01-2020,1486,24-03-2020
100341,14-01-2020,1138,28-01-2020
100342,09-01-2020,1522,10-02-2020
100343,19-01-2020,1258,17-03-2020
100344,13-01-2020,1576,24-01-2020
100345,04-01-2020,1634,09-02-2020
100346,05-01-2020,1019,22-02-2020
100347,15-01-2020,1386,07-03-2020
100348,03-01-2020,1338,26-02-2020
100349,26-01-2020,1485,15-03-2020
100350,11-01-2020,1620,06-02-2020
100351,16-01-2020,1200,26-01-2020
100352,03-01-2020,1294,31-01-2020
100353,26-01-2020,1523,20-03-2020
100354,18-01-2020,1320,26-02-2020
100355,01-01-2020,1513,31-01-2020
100356,10-01-2020,1228,21-01-2020
100357,17-01-2020,1193,04-03-2020
100358,26-01-2020,1359,26-02-2020
100359,22-01-2020,1374,22-02-2020
100360,26-01-2020,1374,17-03-2020
100361,15-01-2020,1050,30-01-2020
100362,25-01-2020,1639,17-03-2020
100363,07-01-2020,1074,18-01-2020
100364,15-01-2020,1177,30-01-2020
100365,24-01-2020,1372,05-03-2020
100366,28-01-2020,1211,16-02-2020
100367,13-01-2020,1559,03-03-2020
100368,05-01-2020,1112,23-02-2020
100369,17-01-2020,1075,03-02-2020
100370,29-01-2020,1504,15-02-2020
100371,20-01-2020,1034,02-02-2020
100372,29-01-2020,1213,28-03-2020
100373,01-01-2020,1600,22-02-2020
100374,06-01-2020,1277,14-01-2020
100375,24-01-2020,1123,01-02-2020
100376,03-01-2020,1119,29-01-2020
100377,13-01-2020,1317,27-01-2020
100378,19-01-2020,1565,15-02-2020
100379,03-01-2020,1283,03-02-2020
100380,08-01-2020,1569,01-02-2020
100381,04-01-2020,1058,18-01-2020
100382,26-01-2020,1204,05-03-2020
100383,02-01-2020,1543,05-02-2020
100384,23-01-2020,1197,19-02-2020
100385,31-01-2020,1475,28-03-2020
100386,02-01-2020,1182,28-01-2020
100387,28-01-2020,1132,17-03-2020
100388,24-01-2020,1594,22-02-2020
100389,20-01-2020,1565,13-03-2020
100390,25-01-2020,1448,17-03-2020
100391,31-01-2020,1304,07-02-2020
100392,11-01-2020,1577,22-01-2020
100393,14-01-2020,1364,14-02-2020
100394,27-01-2020,1187,26-03-2020
100395,04-01-2020,1470,23-01-2020
100396,23-01-2020,1232,11-02-2020
100397,16-01-2020,1286,11-02-2020
100398,02-01-2020,1608,24-01-2020
100399,11-01-2020,1013,16-02-2020
100400,24-01-2020,1486,18-03-2020
100401,13-01-2020,1592,23-02-2020
100402,07-01-2020,1159,20-01-2020
100403,17-01-2020,1218,15-02-2020
100404,18-01-2020,1226,26-01-2020
100405,03-01-2020,1382,18-02-2020
100406,08-01-2020,1397,28-02-2020
100407,06-01-2020,1097,09-02-2020
100408,21-01-2020,1334,16-03-2020
100409,01-01-2020,1633,14-02-2020
100410,03-01-2020,1340,24-01-2020
100411,26-01-2020,1014,06-02-2020
100412,30-01-2020,1354,23-02-2020
100413,30-01-2020,1512,18-02-2020
100414,02-01-2020,1222,20-01-2020
100415,05-01-2020,1548,18-01-2020
100416,08-01-2020,1323,30-01-2020
100417,04-01-2020,1167,27-01-2020
100418,12-01-2020,1289,19-01-2020
100419,29-01-2020,1504,22-02-2020
100420,20-01-2020,1408,17-02-2020
100421,11-01-2020,1371,01-02-2020
100422,20-01-2020,1431,17-02-2020
100423,29-01-2020,1425,28-02-2020
100424,18-01-2020,1586,07-02-2020
100425,04-01-2020,1397,06-02-2020
100426,03-01-2020,1452,07-02-2020
100427,29-01-2020,1215,26-02-2020
100428,01-01-2020,1169,23-02-2020
100429,11-01-2020,1029,14-02-2020
100430,20-01-2020,1310,08-03-2020
100431,06-01-2020,1587,29-01-2020
100432,20-01-2020,1054,12-03-2020
100433,28-01-2020,1490,14-03-2020
100434,01-01-2020,1242,10-01-2020
100435,20-01-2020,1057,26-02-2020
100436,09-01-2020,1462,19-01-2020
100437,11-01-2020,1075,18-02-2020
100438,22-01-2020,1335,17-02-2020
100439,10-01-2020,1259,22-02-2020
100440,11-01-2020,1015,29-01-2020
100441,05-01-2020,1562,18-01-2020
100442,01-01-2020,1219,18-02-2020
100443,15-01-2020,1353,28-01-2020
100444,26-01-2020,1548,08-02-2020
100445,07-01-2020,1549,05-03-2020
100446,23-01-2020,1522,06-03-2020
100447,03-01-2020,1585,27-01-2020
100448,28-01-2020,1587,08-03-2020
100449,04-01-2020,1219,05-02-2020
100450,23-01-2020,1483,31-01-2020
100451,12-01-2020,1011,28-02-2020
100452,17-01-2020,1608,06-03-2020
100453,03-01-2020,1003,09-02-2020
100454,03-01-2020,1386,13-01-2020
100455,03-01-2020,1264,27-02-2020
100456,29-01-2020,1289,18-03-2020
100457,30-01-2020,1166,08-02-2020
100458,01-01-2020,1588,05-02-2020
100459,11-01-2020,1539,26-02-2020
100460,25-01-2020,1058,11-02-2020
100461,23-01-2020,1597,18-03-2020
100462,13-01-2020,1082,15-02-2020
100463,11-01-2020,1073,18-02-2020
100464,24-01-2020,1401,21-03-2020
100465,07-01-2020,1398,03-03-2020
100466,10-01-2020,1207,25-01-2020
100467,01-01-2020,1136,09-02-2020
100468,20-01-2020,1458,23-02-2020
100469,17-01-2020,1406,19-02-2020
100470,25-01-2020,1001,16-03-2020
100471,09-01-2020,1486,02-02-2020
100472,11-01-2020,1079,17-02-2020
100473,08-01-2020,1044,22-01-2020
100474,20-01-2020,1400,05-02-2020
100475,29-01-2020,1204,12-03-2020
100476,04-01-2020,1241,16-01-2020
100477,01-01-2020,1182,21-01-2020
100478,02-01-2020,1008,25-01-2020
100479,05-01-2020,1642,14-02-2020
100480,09-01-2020,1409,09-02-2020
100481,17-01-2020,1322,25-01-2020
100482,22-01-2020,1106,15-02-2020
100483,11-01-2020,1553,19-01-2020
100484,27-01-2020,1296,02-03-2020
100485,01-01-2020,1062,17-01-2020
100486,08-01-2020,1197,12-02-2020
100487,13-01-2020,1236,11-02-2020
100488,24-01-2020,1398,10-02-2020
100489,17-01-2020,1274,25-02-2020
100490,20-01-2020,1109,17-03-2020
100491,06-01-2020,1515,04-03-2020
100492,08-01-2020,1395,27-01-2020
100493,03-01-2020,1563,03-02-2020
100494,15-01-2020,1600,05-02-2020
100495,07-01-2020,1033,18-02-2020
100496,08-01-2020,1574,16-01-2020
100497,07-01-2020,1648,23-01-2020
100498,22-01-2020,1113,10-02-2020
100499,17-01-2020,1622,24-01-2020
100500,28-01-2020,1083,19-03-2020
100501,29-01-2020,1091,25-02-2020
100502,05-01-2020,1274,02-02-2020
100503,07-01-2020,1600,28-01-2020
100504,13-01-2020,1554,11-03-2020
100505,06-01-2020,1605,04-03-2020
100506,26-01-2020,1126,25-03-2020
100507,18-01-2020,1309,12-02-2020
100508,28-01-2020,1567,20-03-2020
100509,16-01-2020,1070,10-02-2020
100510,19-01-2020,1588,03-03-2020
100511,10-01-2020,1301,08-03-2020
100512,06-01-2020,1414,12-02-2020
100513,07-01-2020,1012,27-01-2020
100514,05-01-2020,1241,12-01-2020
100515,17-01-2020,1374,05-02-2020
100516,27-01-2020,1539,20-03-2020
100517,13-01-2020,1155,26-02-2020
100518,17-01-2020,1451,22-02-2020
100519,06-01-2020,1370,28-01-2020
100520,05-01-2020,1562,04-03-2020
100521,08-01-2020,1291,09-02-2020
100522,19-01-2020,1557,01-03-2020
100523,28-01-2020,1268,06-03-2020
100524,06-01-2020,1014,15-02-2020
100525,31-01-2020,1177,10-03-2020
100526,19-01-2020,1038,04-03-2020
100527,14-01-2020,1169,19-02-2020
100528,03-01-2020,1314,25-02-2020
100529,23-01-2020,1229,25-02-2020
100530,07-01-2020,1227,05-03-2020
100531,29-01-2020,1477,22-02-2020
100532,04-01-2020,1334,06-02-2020
100533,29-01-2020,1473,23-03-2020
100534,19-01-2020,1341,03-02-2020
100535,04-01-2020,1225,20-02-2020
100536,30-01-2020,1335,18-03-2020
100537,16-01-2020,1329,23-02-2020
100538,15-01-2020,1093,25-02-2020
100539,05-01-2020,1341,25-02-2020
100540,27-01-2020,1352,06-02-2020
100541,02-01-2020,1635,10-02-2020
100542,12-01-2020,1212,16-02-2020
100543,21-01-2020,1261,04-02-2020
100544,06-01-2020,1456,09-02-2020
100545,30-01-2020,1240,27-02-2020
100546,20-01-2020,1603,02-03-2020
100547,28-01-2020,1479,26-02-2020
100548,17-01-2020,1053,19-02-2020
100549,23-01-2020,1562,05-02-2020
100550,28-01-2020,1120,04-02-2020
100551,06-01-2020,1624,16-02-2020
100552,09-01-2020,1045,10-02-2020
100553,18-01-2020,1631,06-03-2020
100554,01-01-2020,1126,18-02-2020
100555,03-01-2020,1005,02-02-2020
100556,30-01-2020,1001,24-03-2020
100557,02-01-2020,1483,21-01-2020
100558,27-01-2020,1366,21-03-2020
100559,01-01-2020,1533,30-01-2020
100560,08-01-2020,1436,25-02-2020
100561,19-01-2020,1020,13-02-2020
100562,12-01-2020,1620,27-01-2020
100563,12-01-2020,1033,04-03-2020
100564,08-01-2020,1091,15-02-2020
100565,09-01-2020,1623,01-02-2020
100566,17-01-2020,1070,20-02-2020
100567,23-01-2020,1468,17-02-2020
100568,30-01-2020,1548,25-02-2020
100569,25-01-2020,1396,23-02-2020
100570,29-01-2020,1538,14-03-2020
100571,22-01-2020,1108,08-03-2020
100572,28-01-2020,1098,25-02-2020
100573,31-01-2020,1502,12-02-2020
100574,10-01-2020,1384,23-01-2020
100575,02-01-2020,1151,02-03-2020
100576,09-01-2020,1466,05-03-2020
100577,14-01-2020,1096,22-01-2020
100578,01-01-2020,1379,05-02-2020
100579,19-01-2020,1166,15-02-2020
100580,01-01-2020,1468,28-01-2020
100581,07-01-2020,1056,03-02-2020
100582,25-01-2020,1282,21-02-2020
100583,11-01-2020,1031,07-02-2020
100584,25-01-2020,1067,20-02-2020
100585,03-01-2020,1553,23-02-2020
100586,10-01-2020,1249,21-01-2020
100587,25-01-2020,1605,01-03-2020
100588,24-01-2020,1224,19-02-2020
100589,16-01-2020,1115,09-03-2020
100590,12-01-2020,1315,21-02-2020
100591,01-01-2020,1049,08-02-2020
100592,17-01-2020,1583,19-02-2020
100593,25-01-2020,1135,21-03-2020
100594,02-01-2020,1408,21-01-2020
100595,20-01-2020,1196,20-03-2020
100596,29-01-2020,1189,02-03-2020
100597,28-01-2020,1603,11-03-2020
100598,23-01-2020,1033,02-03-2020
100599,08-01-2020,1300,25-01-2020
100600,08-01-2020,1268,20-01-2020
100601,26-01-2020,1627,21-03-2020
100602,09-01-2020,1257,09-02-2020
100603,12-01-2020,1439,07-03-2020
100604,22-01-2020,1169,29-01-2020
100605,14-01-2020,1420,08-02-2020
100606,04-01-2020,1650,27-02-2020
100607,08-01-2020,1600,06-02-2020
100608,12-01-2020,1576,01-02-2020
100609,03-01-2020,1391,13-02-2020
100610,31-01-2020,1317,24-03-2020
100611,05-01-2020,1243,17-01-2020
100612,07-01-2020,1039,27-01-2020
100613,18-01-2020,1434,04-03-2020
100614,14-01-2020,1327,15-02-2020
100615,25-01-2020,1539,25-02-2020
100616,10-01-2020,1250,19-02-2020
100617,30-01-2020,1425,19-02-2020
100618,28-01-2020,1053,18-02-2020
100619,14-01-2020,1162,11-03-2020
100620,10-01-2020,1016,08-03-2020
100621,16-01-2020,1567,26-02-2020
100622,16-01-2020,1369,02-02-2020
100623,24-01-2020,1428,04-02-2020
100624,09-01-2020,1351,09-02-2020
100625,12-01-2020,1075,02-03-2020
100626,22-01-2020,1621,06-03-2020
100627,06-01-2020,1011,28-01-2020
100628,25-01-2020,1266,19-02-2020
100629,12-01-2020,1515,04-03-2020
100630,19-01-2020,1248,11-02-2020
100631,10-01-2020,1170,26-02-2020
100632,03-01-2020,1325,10-01-2020
100633,16-01-2020,1052,27-01-2020
100634,29-01-2020,1514,19-03-2020
100635,16-01-2020,1107,01-02-2020
100636,22-01-2020,1084,25-02-2020
100637,25-01-2020,1025,11-03-2020
100638,23-01-2020,1323,27-02-2020
100639,23-01-2020,1049,10-02-2020
100640,26-01-2020,1528,21-02-2020
100641,12-01-2020,1355,30-01-2020
100642,03-01-2020,1607,20-01-2020
100643,23-01-2020,1427,27-02-2020
100644,19-01-2020,1130,30-01-2020
100645,20-01-2020,1635,05-03-2020
100646,19-01-2020,1527,27-02-2020
100647,18-01-2020,1009,21-02-2020
100648,08-01-2020,1567,20-02-2020
100649,13-01-2020,1645,03-03-2020
100650,10-01-2020,1272,19-01-2020
100651,27-01-2020,1092,15-02-2020
100652,28-01-2020,1188,14-03-2020
100653,07-01-2020,1282,29-02-2020
100654,22-01-2020,1025,29-01-2020
100655,26-01-2020,1267,18-02-2020
100656,20-01-2020,1315,26-02-2020
100657,28-01-2020,1017,11-03-2020
100658,01-01-2020,1285,10-02-2020
100659,05-01-2020,1231,24-02-2020
100660,16-01-2020,1075,09-02-2020
100661,19-01-2020,1071,22-02-2020
100662,02-01-2020,1584,22-02-2020
100663,28-01-2020,1257,21-03-2020
100664,13-01-2020,1352,24-01-2020
100665,19-01-2020,1640,02-03-2020
100666,08-01-2020,1470,02-02-2020
100667,04-01-2020,1294,19-02-2020
100668,24-01-2020,1049,14-03-2020
100669,07-01-2020,1599,24-02-2020
100670,02-01-2020,1573,08-02-2020
100671,24-01-2020,1278,04-03-2020
100672,11-01-2020,1060,29-01-2020
100673,09-01-2020,1451,19-01-2020
100674,18-01-2020,1449,26-01-2020
100675,12-01-2020,1077,31-01-2020
100676,20-01-2020,1265,04-03-2020
100677,21-01-2020,1154,18-03-2020
100678,26-01-2020,1232,07-03-2020
100679,06-01-2020,1128,01-02-2020
100680,01-01-2020,1179,15-01-2020
100681,22-01-2020,1410,13-03-2020
100682,30-01-2020,1011,13-03-2020
100683,12-01-2020,1360,22-02-2020
100684,16-01-2020,1441,07-03-2020
100685,05-01-2020,1003,02-02-2020
100686,02-01-2020,1013,09-01-2020
100687,26-01-2020,1055,11-02-2020
100688,07-01-2020,1369,02-03-2020
100689,28-01-2020,1621,17-03-2020
100690,11-01-2020,1408,16-02-2020
100691,13-01-2020,1385,25-02-2020
100692,26-01-2020,1262,04-03-2020
100693,28-01-2020,1275,26-02-2020
100694,07-01-2020,1240,27-01-2020
100695,08-01-2020,1020,30-01-2020
100696,25-01-2020,1610,19-03-2020
100697,30-01-2020,1179,20-02-2020
