Sr.no,Dealer,Product,Sales
201,1522,1090,85
202,1303,2905,146
203,1313,2162,195
204,1535,1873,53
205,1219,1185,60
206,1461,1357,152
207,1202,2710,222
208,1126,1081,43
209,1112,1297,6
210,1190,1847,24
211,1010,1201,16
212,1247,1788,14
213,1434,1686,47
214,1538,1224,36
215,1230,1182,37
216,1534,2462,145
217,1222,1212,36
218,1506,2474,81
219,1337,2331,16
220,1352,1719,37
221,1276,2966,54
222,1564,1393,3
223,1228,1194,151
224,1603,2634,42
225,1363,2878,40
226,1284,2027,21
227,1066,2591,6
228,1411,1870,94
229,1208,2854,195
230,1481,2347,132
231,1424,1520,5
232,1604,2903,165
233,1479,2964,8
234,1540,1791,149
235,1227,1698,144
236,1318,2174,5
237,1067,1434,179
238,1157,1980,14
239,1552,2070,28
240,1448,1531,101
241,1465,2482,67
242,1302,1493,174
243,1211,1231,113
244,1537,2954,126
245,1601,2467,32
246,1127,2801,59
247,1068,1987,194
248,1463,2441,120
249,1131,2078,196
250,1590,2159,0
251,1482,1065,276
252,1271,1350,187
253,1550,2672,7
254,1559,2176,55
255,1253,2385,39
256,1333,1173,251
257,1193,2837,60
258,1291,1241,18
259,1313,2523,41
260,1607,2789,66
261,1336,2892,193
262,1145,1712,3
263,1469,1671,25
264,1068,2614,38
265,1637,2795,139
266,1048,1992,12
267,1615,2355,48
268,1589,1387,52
269,1286,1970,7
270,1225,1992,101
271,1093,2011,225
272,1343,2609,3
273,1565,1584,127
274,1539,1957,167
275,1005,2264,99
276,1530,1463,134
277,1021,2707,99
278,1571,2691,4
279,1590,1150,144
280,1239,2005,123
281,1436,1194,32
282,1240,2067,4
283,1338,1369,25
284,1375,1026,54
285,1437,1294,209
286,1183,2038,226
287,1519,1767,153
288,1328,2682,96
289,1151,2976,45
290,1577,1622,76
291,1294,2270,20
292,1437,1104,68
293,1016,2475,48
294,1032,1554,14
295,1126,1038,110
296,1310,1787,100
297,1239,1892,14
298,1104,1759,42
299,1045,2171,153
300,1284,1459,169
301,1545,1078,0
302,1192,2752,194
303,1332,1900,16
304,1513,2981,213
305,1410,2304,118
306,1122,1080,42
307,1320,1965,31
308,1324,2461,84
309,1334,2854,6
310,1260,2857,34
311,1435,2304,27
312,1448,2887,4
313,1252,1651,193
314,1127,2915,42
315,1650,1960,99
316,1127,2030,81
317,1112,2796,47
318,1269,2045,175
319,1161,2936,42
320,1084,2585,41
321,1251,1084,93
322,1097,2961,58
323,1172,1210,2
324,1373,2571,9
325,1476,2633,72
326,1233,2427,147
327,1407,1990,193
328,1617,2866,36
329,1389,1086,23
330,1011,2533,184
331,1643,1366,62
332,1508,2139,175
333,1323,2122,223
334,1117,2953,28
335,1097,2609,131
336,1018,1451,2
337,1248,2978,23
338,1186,1190,221
339,1450,1029,68
340,1464,2180,107
341,1055,2777,36
342,1025,1143,130
343,1337,2347,172
344,1148,1885,67
345,1173,2513,161
346,1393,2961,44
347,1329,2750,6
348,1164,2366,51
349,1386,1578,11
350,1268,1434,85
351,1498,2171,89
352,1595,2877,37
353,1050,1499,118
354,1281,2607,75
355,1088,1271,31
356,1154,1933,2
357,1429,1775,205
358,1547,2692,194
359,1117,2967,30
360,1436,2466,148
361,1011,1428,64
362,1552,2184,41
363,1328,2774,6
364,1085,2312,52
365,1419,2602,115
366,1013,1426,154
367,1211,2801,55
368,1254,2029,27
369,1184,1513,86
370,1300,2828,81
371,1291,1011,185
372,1151,2558,11
373,1649,1342,93
374,1152,1161,87
375,1412,2348,92
376,1115,1567,107
377,1546,2075,0
378,1607,2528,17
379,1165,2104,2
380,1015,2346,56
381,1456,1636,20
382,1463,2417,13
383,1639,2521,10
384,1539,2371,1
385,1475,1912,89
386,1396,2310,24
387,1392,2622,41
388,1416,2071,63
389,1054,1268,117
390,1313,2309,97
391,1204,1785,30
392,1480,2082,40
393,1181,2140,109
394,1322,2845,50
395,1019,2285,36
396,1373,2351,138
397,1358,1240,35
398,1618,1452,10
399,1361,2612,130
400,1083,1097,35
401,1533,2119,65
402,1632,2625,97
403,1515,1372,139
404,1055,1028,38
405,1344,2384,32
406,1424,1674,98
407,1409,2771,25
408,1518,2810,47
409,1531,1685,4
410,1389,1855,36
411,1575,1410,184
412,1112,1125,169
413,1370,1711,248
414,1250,1979,144
415,1229,1055,29
416,1537,1357,65
417,1589,1116,20
418,1040,2135,85
419,1124,1734,56
420,1148,1392,4
421,1032,2325,206
422,1514,2217,14
423,1073,1805,32
424,1134,2621,175
425,1509,1838,65
426,1323,2328,57
427,1374,1080,19
428,1258,1027,199
429,1080,2801,138
430,1239,1233,0
431,1364,1235,20
432,1382,2149,277
433,1419,2938,45
434,1341,1303,43
435,1337,1818,51
436,1555,1742,223
437,1077,2975,8
438,1566,1526,151
439,1344,1612,0
440,1169,1763,5
441,1588,1903,38
442,1326,2899,0
443,1256,2917,22
444,1456,1880,193
445,1256,2292,199
446,1638,2635,189
447,1235,1609,107
448,1225,1294,7
449,1125,2366,16
450,1053,2315,12
451,1604,2837,73
452,1620,2186,12
453,1561,2765,167
454,1326,2574,86
455,1004,1003,24
456,1588,1960,42
457,1298,2816,149
458,1116,2740,43
459,1029,1596,1
460,1014,2632,39
461,1421,1932,48
462,1142,2493,1
463,1456,1878,29
464,1275,2858,6
465,1281,2603,106
466,1396,1900,169
467,1436,2246,1
468,1552,1494,42
469,1151,2684,81
470,1600,2164,34
471,1478,1283,6
472,1053,2659,34
473,1285,2404,5
474,1346,2576,141
475,1010,1018,14
476,1190,2214,41
477,1482,1911,33
478,1430,2114,23
479,1306,1496,1
480,1115,2363,32
481,1542,2294,135
482,1194,2928,40
483,1020,2612,169
484,1094,2806,197
485,1377,2551,143
486,1372,2809,57
487,1190,1564,9
488,1054,1555,39
489,1501,1276,148
490,1517,2033,137
491,1567,1012,10
492,1127,2657,9
493,1374,2310,184
494,1633,1549,64
495,1364,1771,3
496,1283,2270,125
497,1166,1486,15
498,1183,1797,71
499,1503,1691,61
500,1179,2697,124
501,1318,1187,41
502,1185,1856,49
503,1319,1708,63
504,1261,2446,21
505,1005,2043,90
506,1178,1821,16
507,1201,2703,67
508,1293,1043,50
509,1267,1586,76
510,1584,1823,136
511,1314,2153,67
512,1122,1980,67
513,1618,2825,74
514,1069,2624,101
515,1489,2974,2
516,1156,1922,65
517,1342,1026,130
518,1299,1856,21
519,1528,1412,175
520,1324,2639,14
521,1173,1024,90
522,1281,1602,120
523,1584,1214,7
524,1526,2042,60
525,1258,1454,113
526,1041,2954,92
527,1627,1587,11
528,1630,1334,1
529,1412,1108,5
530,1001,2343,150
531,1469,1905,74
532,1297,2998,2
533,1268,1046,91
534,1278,2263,56
535,1072,2161,3
536,1082,2880,154
537,1057,1983,165
538,1316,2967,14
539,1364,1328,156
540,1019,2692,185
541,1076,2979,174
542,1081,2927,17
543,1278,2694,23
544,1174,1652,0
545,1374,2370,65
546,1532,1749,8
547,1225,2595,54
548,1542,2171,178
549,1173,1981,3
550,1631,1219,41
551,1363,1919,44
552,1539,1186,33
553,1242,2022,219
554,1551,1599,7
555,1358,2608,56
556,1565,2544,174
557,1598,1721,118
558,1399,2875,162
559,1183,2043,104
560,1013,1119,8
561,1588,1969,7
562,1600,1549,54
563,1476,2388,24
564,1279,2789,155
565,1230,2622,98
566,1094,1042,18
567,1076,1389,21
568,1648,2615,164
569,1553,2806,0
570,1094,2906,86
571,1002,2853,49
572,1274,1963,2
573,1061,1280,75
574,1085,2563,27
575,1488,1952,10
576,1347,2976,141
577,1133,2618,23
578,1329,2674,45
579,1589,1241,205
580,1256,2916,55
581,1438,1468,46
582,1194,2532,145
583,1355,1286,94
584,1141,1422,20
585,1370,1858,69
586,1207,1809,66
587,1208,1145,79
588,1196,2697,17
589,1607,1732,12
590,1262,1075,58
591,1049,1963,12
592,1106,2438,212
593,1385,2674,21
594,1287,1901,103
595,1547,2407,8
596,1259,1416,149
597,1361,1057,186
598,1185,2222,63
599,1477,2316,27
600,1268,2213,53
601,1357,1179,227
602,1403,2807,152
603,1569,2920,3
604,1023,1957,160
605,1234,2922,42
606,1407,1702,3
607,1277,1805,1
608,1044,2236,38
609,1342,1608,34
610,1555,1321,122
611,1077,2996,0
612,1363,2321,90
613,1436,2945,131
614,1575,1708,169
615,1241,2901,228
616,1057,2512,144
617,1196,2704,170
618,1257,1450,81
619,1135,1256,42
620,1372,2328,49
621,1216,1098,204
622,1489,1536,47
623,1531,1003,137
624,1513,2039,8
625,1531,1652,84
626,1407,1222,111
627,1040,1426,80
628,1105,1821,31
629,1305,1689,121
630,1438,2305,160
631,1458,2902,44
632,1166,1083,84
633,1054,1344,47
634,1385,2077,210
635,1039,1004,26
636,1424,1836,24
637,1422,1042,146
638,1290,2519,63
639,1214,1016,12
640,1390,1911,6
641,1537,2573,31
642,1029,1563,7
643,1596,2945,62
644,1319,1825,140
645,1418,2527,132
646,1447,1179,54
647,1351,1165,9
648,1458,2483,65
649,1498,1199,1
650,1404,2739,70
651,1465,2799,238
652,1484,2988,55
653,1175,2972,81
654,1228,1148,30
655,1630,1363,46
656,1596,2934,216
657,1532,1808,37
658,1341,1775,17
659,1503,2149,20
660,1053,1620,9
661,1137,2132,157
662,1545,2397,10
663,1644,2694,45
664,1281,1220,153
665,1010,1176,4
666,1258,2743,12
667,1604,1469,51
668,1244,2945,113
669,1374,2886,133
670,1340,2090,34
671,1038,1706,10
672,1263,2342,7
673,1258,1080,83
674,1257,2403,70
675,1568,1875,4
676,1326,2540,9
677,1115,2972,113
678,1460,2373,35
679,1468,1630,26
680,1456,1945,176
681,1254,1051,209
682,1077,1636,78
683,1050,2964,212
684,1546,1125,171
685,1417,2674,116
686,1333,1608,1
687,1404,2927,23
688,1525,2855,217
689,1497,2454,28
690,1080,2387,95
691,1623,1586,9
692,1532,1906,40
693,1611,2682,16
694,1143,1815,1
695,1132,1203,68
696,1230,2246,79
697,1074,2445,98
698,1547,2454,109
699,1369,1047,10
700,1535,2171,29
701,1077,1722,141
702,1039,1870,42
703,1145,1311,150
704,1135,1944,2
705,1515,2670,8
706,1152,2759,47
707,1126,1371,221
708,1144,1853,103
709,1418,2297,238
710,1433,2132,34
711,1143,2634,167
712,1262,2904,151
713,1272,2026,28
714,1588,2790,236
715,1412,1055,105
716,1010,1291,6
717,1607,2651,1
718,1518,1879,67
719,1333,1389,144
720,1531,2375,5
721,1447,1038,211
722,1513,1132,65
723,1046,1118,210
724,1333,2164,32
725,1381,1438,5
726,1353,2487,100
727,1587,1195,39
728,1356,1521,170
729,1070,1657,105
730,1399,2751,11
731,1381,1557,34
732,1272,1318,76
733,1536,2713,31
734,1501,2275,96
735,1313,2762,19
736,1171,2244,64
737,1288,2757,88
738,1003,1739,135
739,1602,2728,6
740,1581,1666,21
741,1067,2314,250
742,1537,2898,79
743,1239,1694,39
744,1011,1366,51
745,1159,1500,22
746,1391,2735,37
747,1061,1186,70
748,1138,1284,24
749,1050,1035,92
750,1470,2905,14
751,1105,1529,96
752,1571,2342,8
753,1071,2041,38
754,1635,2736,4
755,1341,1410,138
756,1455,1952,1
757,1247,1910,163
758,1350,2566,115
759,1366,2536,16
760,1052,2938,101
761,1235,1179,71
762,1335,2127,243
763,1551,1523,138
764,1114,2903,39
765,1234,1909,1
766,1510,2497,20
767,1044,2714,1
768,1611,2273,233
769,1456,2040,90
770,1141,1916,93
771,1616,1016,87
772,1562,1995,135
773,1171,2627,43
774,1262,1520,74
775,1023,2846,13
776,1117,1158,30
777,1140,2960,47
778,1640,1709,154
779,1515,1990,38
780,1212,1601,6
781,1075,2260,134
782,1521,1185,114
783,1587,2646,147
784,1403,1889,131
785,1050,1194,224
786,1342,2648,39
787,1534,1798,113
788,1265,2037,8
789,1445,1038,121
790,1539,2859,67
791,1009,1990,0
792,1507,1747,238
793,1109,2898,13
794,1588,2254,42
795,1121,1534,70
796,1407,1199,174
797,1169,2842,91
798,1196,1168,49
799,1470,2095,19
800,1238,2591,88
801,1649,1809,71
802,1340,1593,20
803,1540,2606,43
804,1218,1337,138
805,1170,1607,77
806,1164,2095,190
807,1496,1860,282
808,1292,1441,2
809,1543,2504,8
810,1624,1307,7
811,1349,2819,28
812,1293,2269,104
813,1265,2019,25
814,1207,1139,33
815,1090,1491,198
816,1200,2403,60
817,1342,2094,122
818,1006,2365,221
819,1021,1204,286
820,1581,1869,29
821,1272,2234,90
822,1168,2902,1
823,1414,2677,202
824,1151,1314,69
825,1602,2229,30
826,1109,1490,18
827,1394,1784,11
828,1530,2559,63
829,1028,2976,13
830,1644,2201,126
831,1202,1806,32
832,1165,2026,3
833,1063,1808,161
834,1197,2419,128
835,1437,1834,67
836,1626,2585,85
837,1430,2671,4
838,1154,2940,135
839,1265,1757,10
840,1362,2721,129
841,1123,1333,26
842,1461,1011,1
843,1020,2833,5
844,1476,1683,56
845,1207,1519,46
846,1570,2966,157
847,1134,1371,9
848,1331,1907,139
849,1344,1929,111
850,1001,1011,240
851,1272,2582,2
852,1645,1016,111
853,1174,1075,228
854,1325,1870,71
855,1075,2379,222
856,1203,1424,16
857,1591,2051,1
858,1465,2942,203
859,1465,2400,33
860,1308,2512,18
861,1239,2833,116
862,1022,2100,1
863,1456,2620,143
864,1119,2367,78
865,1552,1911,101
866,1577,1699,68
867,1491,1928,65
868,1177,2013,17
869,1316,2021,160
870,1064,2542,178
871,1628,2023,212
872,1546,2644,151
873,1575,1864,148
874,1002,1382,116
875,1310,1681,2
876,1257,2291,3
877,1103,1977,137
878,1590,2111,12
879,1458,2406,1
880,1249,2859,16
881,1210,2670,26
882,1163,1016,20
883,1222,1612,92
884,1602,2010,136
885,1312,1971,1
886,1631,1965,256
887,1547,2040,5
888,1567,1878,99
889,1150,1903,24
890,1346,2411,9
891,1384,1118,6
892,1078,2355,107
893,1210,1733,10
894,1291,1183,9
895,1382,1493,43
896,1113,1418,245
897,1618,2433,149
898,1523,1120,20
899,1559,1908,38
900,1479,1525,143
901,1507,2169,38
902,1193,2584,15
903,1529,1524,44
904,1533,2873,109
905,1208,1695,39
906,1591,1219,16
907,1065,1353,67
908,1396,2968,88
909,1490,2859,148
910,1097,2867,165
911,1425,2185,71
912,1510,2817,42
913,1510,1692,8
914,1434,2239,10
915,1594,1486,5
916,1418,2818,258
917,1569,2289,8
918,1171,1558,122
919,1549,1630,52
920,1092,1051,7
921,1278,2393,24
922,1032,1094,36
923,1434,2069,67
924,1559,1725,232
925,1527,2322,144
926,1650,2148,124
927,1634,2502,246
928,1466,2880,33
929,1333,1332,2
930,1309,2195,30
931,1564,2478,2
932,1446,2961,102
933,1085,1966,93
934,1304,1775,146
935,1471,2685,116
936,1361,1509,143
937,1060,1476,17
938,1145,2028,70
939,1487,2712,189
940,1231,1944,136
941,1321,2519,27
942,1140,2484,144
943,1553,1705,61
944,1585,2741,132
945,1219,1775,33
946,1604,2857,13
947,1440,2027,22
948,1069,1965,0
949,1296,2122,27
950,1256,2825,44
951,1216,1762,30
952,1568,2118,228
953,1482,2341,160
954,1601,1392,34
955,1129,2716,215
956,1084,1801,60
957,1317,1244,47
958,1055,1650,76
959,1348,1044,71
960,1257,2414,8
961,1288,2670,3
962,1064,1394,122
963,1125,2330,118
964,1386,2417,193
965,1565,2913,11
966,1334,1393,193
967,1136,1082,36
968,1472,2161,0
969,1067,1801,6
970,1585,1952,109
971,1421,2662,11
972,1078,1190,165
973,1143,1540,242
974,1121,2364,108
975,1175,2210,1
976,1375,2642,27
977,1024,2217,45
978,1482,1659,118
979,1097,2979,146
980,1614,2943,172
981,1158,2888,98
982,1575,1695,56
983,1277,2421,237
984,1042,2172,50
985,1589,2045,70
986,1095,1897,100
987,1596,1175,129
988,1386,2088,1
989,1582,1930,64
990,1625,1984,15
991,1251,2125,101
992,1221,2502,21
993,1621,1264,5
994,1580,1560,5
995,1601,1810,193
996,1611,2667,2
997,1316,2465,39
998,1182,2759,22
999,1123,2615,148
1000,1058,2366,159
1001,1189,2682,8
1002,1648,1233,36
1003,1424,1250,100
1004,1288,2879,12
1005,1245,2554,171
1006,1280,1022,11
1007,1554,2277,131
1008,1600,1968,115
1009,1159,2879,17
1010,1127,1621,182
1011,1120,2324,99
1012,1300,1474,236
1013,1004,2004,1
1014,1395,1874,138
1015,1642,1242,10
1016,1072,2051,41
1017,1603,2748,114
1018,1223,2203,59
1019,1098,2465,48
1020,1519,1081,219
1021,1497,2888,16
1022,1617,1440,14
1023,1477,2748,35
1024,1331,2831,119
1025,1054,2407,73
1026,1297,1727,33
1027,1377,1158,65
1028,1054,2534,31
1029,1469,1817,116
1030,1080,2994,2
1031,1499,2126,87
1032,1406,2363,72
1033,1262,1235,14
1034,1443,1334,65
1035,1263,1592,103
1036,1246,1178,9
1037,1118,2063,239
1038,1428,1391,127
1039,1513,1824,7
1040,1519,2395,14
1041,1310,1039,91
1042,1481,2596,1
1043,1628,1998,8
1044,1455,2336,26
1045,1297,1364,130
1046,1244,2803,124
1047,1073,1359,5
1048,1590,2152,11
1049,1287,1371,169
1050,1337,1583,0
1051,1359,2081,141
1052,1274,1957,13
1053,1528,1106,30
1054,1208,2556,44
1055,1625,2714,16
1056,1103,2463,29
1057,1643,2334,79
1058,1486,1891,13
1059,1044,2932,21
1060,1488,2602,72
1061,1521,1525,9
1062,1485,2136,57
1063,1534,2733,39
1064,1508,1155,36
1065,1624,1199,197
1066,1532,1977,58
1067,1388,1077,124
1068,1459,1929,209
1069,1557,2299,113
1070,1171,1822,89
1071,1374,1394,108
1072,1590,1053,149
1073,1506,2829,73
1074,1040,1737,0
1075,1458,2127,0
1076,1361,2619,49
1077,1165,1340,26
1078,1643,1230,1
1079,1422,1049,69
1080,1489,1697,72
1081,1304,1226,32
1082,1503,2628,1
1083,1594,1194,38
1084,1513,1673,14
1085,1556,2043,3
1086,1049,1525,134
1087,1090,2025,37
1088,1620,2462,64
1089,1644,1706,91
1090,1138,1618,1
1091,1214,2828,25
1092,1446,1923,82
1093,1306,2370,95
1094,1415,1823,132
1095,1628,2615,100
1096,1485,1909,65
1097,1288,2636,154
1098,1344,1185,92
1099,1239,2967,44
1100,1045,1033,15
1101,1528,1566,162
1102,1376,2054,76
1103,1237,2152,133
1104,1297,1276,136
1105,1137,1526,146
1106,1645,1868,75
1107,1531,1188,36
1108,1503,2897,82
1109,1014,1796,83
1110,1500,2750,10
1111,1506,2063,86
1112,1631,2277,20
1113,1442,2145,32
1114,1605,2860,15
1115,1162,2565,154
1116,1391,2381,10
1117,1432,1244,42
1118,1415,1195,7
1119,1019,1406,0
1120,1179,1427,3
1121,1083,2896,5
1122,1643,2706,143
1123,1386,1496,28
1124,1513,2788,101
1125,1056,2396,133
1126,1042,2965,17
1127,1017,2062,35
1128,1405,2418,130
1129,1436,2189,167
1130,1229,2301,17
1131,1326,1917,19
1132,1197,1530,108
1133,1172,1567,56
1134,1447,2614,59
1135,1365,1805,3
1136,1250,1572,127
1137,1391,2502,7
1138,1334,2945,7
1139,1113,2989,232
1140,1425,1885,33
1141,1621,2675,214
1142,1257,2219,46
1143,1636,2730,64
1144,1137,1831,34
1145,1344,1401,68
1146,1293,2500,36
1147,1107,2119,78
1148,1368,1963,59
1149,1649,1942,28
1150,1442,2114,206
1151,1527,2179,14
1152,1155,1503,125
1153,1454,1866,81
1154,1322,2474,22
1155,1077,1958,16
1156,1025,1324,43
1157,1217,1250,6
1158,1451,2677,1
1159,1103,1580,64
1160,1508,1836,102
1161,1547,2445,81
1162,1643,2003,43
1163,1350,2320,184
1164,1265,2495,38
1165,1437,1051,146
1166,1439,1711,222
1167,1350,1521,176
1168,1098,2740,91
1169,1242,2717,102
1170,1249,2179,146
1171,1358,2023,162
1172,1428,1901,22
1173,1235,2107,180
1174,1258,2393,40
1175,1244,1306,101
1176,1063,2628,197
1177,1030,2216,24
1178,1243,2128,152
1179,1203,1513,34
1180,1051,1439,41
1181,1594,1460,16
1182,1101,1185,89
1183,1487,1917,90
1184,1197,1906,68
1185,1399,2750,46
1186,1258,2156,102
1187,1190,1602,156
1188,1347,1976,97
1189,1306,1100,9
1190,1586,1265,17
1191,1202,1699,126
1192,1588,1713,20
1193,1338,2209,101
1194,1127,2151,24
1195,1092,2056,225
1196,1327,2053,99
1197,1256,2631,198
1198,1096,2103,83
1199,1118,2079,6
1200,1627,2916,83
1201,1384,1484,49
1202,1398,2768,51
1203,1402,1457,18
1204,1272,2215,96
1205,1108,1525,28
1206,1580,1920,19
1207,1071,1775,94
1208,1122,2585,26
1209,1558,1838,50
1210,1026,1732,49
1211,1604,1127,179
1212,1643,2917,52
1213,1194,2170,96
1214,1293,1567,58
1215,1240,1386,49
1216,1303,2216,79
1217,1359,2116,249
1218,1559,1481,11
1219,1317,2372,6
1220,1544,2467,195
1221,1614,1053,37
1222,1004,2137,35
1223,1385,1072,164
1224,1109,2143,248
1225,1274,1896,108
1226,1485,1466,22
1227,1302,2090,184
1228,1196,1204,41
1229,1107,1052,161
1230,1054,2006,31
1231,1409,2003,75
1232,1018,1586,159
1233,1310,2385,83
1234,1393,1097,48
1235,1387,2415,17
1236,1608,2296,86
1237,1514,1876,120
1238,1359,2971,32
1239,1615,2026,55
1240,1103,2112,9
1241,1133,1544,165
1242,1338,1660,167
1243,1159,1011,49
1244,1338,2539,79
1245,1515,1691,80
1246,1564,1828,65
1247,1600,2219,33
1248,1544,1842,37
1249,1512,2074,18
1250,1473,2642,182
1251,1344,2039,62
1252,1044,1808,24
1253,1490,2087,32
1254,1272,1617,2
1255,1461,1016,79
1256,1122,2066,3
1257,1649,1102,35
1258,1621,2663,22
1259,1153,1539,1
1260,1052,1614,63
1261,1635,2856,122
1262,1523,1797,27
1263,1531,1660,12
1264,1598,2629,42
1265,1241,1127,9
1266,1124,1667,54
1267,1635,1438,34
1268,1135,2027,170
1269,1098,1522,5
1270,1076,1482,3
1271,1239,2393,139
1272,1605,1690,0
1273,1518,1787,35
1274,1133,2323,30
1275,1367,1650,25
1276,1081,1729,166
1277,1044,2631,133
1278,1119,1794,28
1279,1569,1928,202
1280,1091,2607,11
1281,1299,1290,2
1282,1489,1940,157
1283,1568,1998,229
1284,1098,1895,172
1285,1482,2998,167
1286,1582,1643,60
1287,1054,1563,16
1288,1640,1184,185
1289,1276,1760,20
1290,1065,2108,53
1291,1303,2932,116
1292,1501,2461,1
1293,1491,1245,34
1294,1564,2412,139
1295,1221,2400,62
1296,1337,1487,39
1297,1104,2941,117
1298,1636,1465,2
1299,1590,2961,12
1300,1013,1308,26
1301,1311,1954,23
1302,1086,2184,28
1303,1108,1566,33
1304,1428,2875,138
1305,1271,2632,152
1306,1437,1593,41
1307,1281,1109,82
1308,1493,1546,64
1309,1094,2948,54
1310,1286,2259,23
1311,1320,1099,7
1312,1206,2345,101
1313,1573,2948,93
1314,1318,2735,61
1315,1536,2231,59
1316,1317,1199,57
1317,1302,1929,222
1318,1175,1995,68
1319,1393,1176,192
1320,1614,1706,91
1321,1201,2032,76
1322,1552,2538,91
1323,1317,2106,41
1324,1608,1114,98
1325,1137,1731,4
1326,1215,1907,28
1327,1609,2472,2
1328,1329,2427,40
1329,1330,1163,9
1330,1103,2316,3
1331,1338,2507,1
1332,1462,1514,277
1333,1612,1312,62
1334,1326,1436,56
1335,1293,1665,161
1336,1356,1579,97
1337,1501,2229,18
1338,1438,1469,127
1339,1558,1534,6
1340,1350,2341,250
1341,1632,1123,111
1342,1290,1425,81
1343,1535,2534,40
1344,1213,1519,51
1345,1423,2889,74
1346,1353,1996,83
1347,1152,1872,27
1348,1484,2207,106
1349,1552,2264,43
1350,1542,1960,242
1351,1053,2148,55
1352,1034,2907,5
1353,1134,1452,140
1354,1426,2061,111
1355,1570,1322,3
1356,1176,1320,30
1357,1293,1361,112
1358,1431,2003,89
1359,1152,2564,155
1360,1462,2579,8
