Sr.no,Dealer,Product,FC
254,1559,2176,69
255,1253,2385,66
256,1333,1173,297
257,1193,2837,174
258,1291,1241,78
259,1313,2523,66
260,1607,2789,132
261,1336,2892,199
262,1145,1712,7
263,1469,1671,60
264,1068,2614,125
265,1637,2795,169
266,1048,1992,158
267,1615,2355,185
268,1589,1387,162
269,1286,1970,40
270,1225,1992,265
271,1093,2011,292
272,1343,2609,13
273,1565,1584,135
274,1539,1957,181
275,1005,2264,196
276,1530,1463,165
277,1021,2707,103
278,1571,2691,67
279,1590,1150,190
280,1239,2005,266
281,1436,1194,144
282,1240,2067,296
283,1338,1369,86
284,1375,1026,252
285,1437,1294,241
286,1183,2038,273
287,1519,1767,178
288,1328,2682,202
289,1151,2976,136
290,1577,1622,85
291,1294,2270,35
292,1437,1104,226
293,1016,2475,246
294,1032,1554,193
295,1126,1038,143
296,1310,1787,154
297,1239,1892,230
298,1104,1759,134
299,1045,2171,154
300,1284,1459,238
301,1545,1078,10
302,1192,2752,248
303,1332,1900,233
304,1513,2981,256
305,1410,2304,223
306,1122,1080,255
307,1320,1965,288
308,1324,2461,126
309,1334,2854,84
310,1260,2857,166
311,1435,2304,243
312,1448,2887,180
313,1252,1651,269
314,1127,2915,49
315,1650,1960,237
316,1127,2030,144
317,1112,2796,181
318,1269,2045,213
319,1161,2936,184
320,1084,2585,176
321,1251,1084,207
322,1097,2961,181
323,1172,1210,6
324,1373,2571,179
325,1476,2633,77
326,1233,2427,211
327,1407,1990,263
328,1617,2866,184
329,1389,1086,112
330,1011,2533,194
331,1643,1366,163
332,1508,2139,253
333,1323,2122,240
334,1117,2953,35
335,1097,2609,184
336,1018,1451,13
337,1248,2978,108
338,1186,1190,267
339,1450,1029,86
340,1464,2180,138
341,1055,2777,131
342,1025,1143,218
343,1337,2347,186
344,1148,1885,224
345,1173,2513,170
346,1393,2961,146
347,1329,2750,63
348,1164,2366,155
349,1386,1578,18
350,1268,1434,291
351,1498,2171,240
352,1595,2877,58
353,1050,1499,213
354,1281,2607,115
355,1088,1271,61
356,1154,1933,41
357,1429,1775,217
358,1547,2692,214
359,1117,2967,44
360,1436,2466,161
361,1011,1428,76
362,1552,2184,76
363,1328,2774,38
364,1085,2312,57
365,1419,2602,150
366,1013,1426,179
367,1211,2801,91
368,1254,2029,112
369,1184,1513,279
370,1300,2828,102
371,1291,1011,236
372,1151,2558,12
373,1649,1342,123
374,1152,1161,220
375,1412,2348,124
376,1115,1567,265
377,1546,2075,1
378,1607,2528,131
379,1165,2104,9
380,1015,2346,100
381,1456,1636,23
382,1463,2417,91
383,1639,2521,23
384,1539,2371,83
385,1475,1912,145
386,1396,2310,56
387,1392,2622,46
388,1416,2071,182
389,1054,1268,165
390,1313,2309,187
391,1204,1785,82
392,1480,2082,266
393,1181,2140,246
394,1322,2845,127
395,1019,2285,124
396,1373,2351,139
397,1358,1240,127
398,1618,1452,170
399,1361,2612,160
400,1083,1097,155
401,1533,2119,176
402,1632,2625,176
403,1515,1372,230
404,1055,1028,198
405,1344,2384,179
406,1424,1674,210
407,1409,2771,128
408,1518,2810,105
409,1531,1685,28
410,1389,1855,54
411,1575,1410,232
412,1112,1125,205
413,1370,1711,269
414,1250,1979,157
415,1229,1055,92
416,1537,1357,289
417,1589,1116,29
418,1040,2135,133
419,1124,1734,241
420,1148,1392,177
421,1032,2325,292
422,1514,2217,59
423,1073,1805,142
424,1134,2621,188
425,1509,1838,68
426,1323,2328,164
427,1374,1080,80
428,1258,1027,208
429,1080,2801,146
430,1239,1233,5
431,1364,1235,24
432,1382,2149,290
433,1419,2938,48
434,1341,1303,128
435,1337,1818,112
436,1555,1742,251
437,1077,2975,69
438,1566,1526,164
439,1344,1612,133
440,1169,1763,37
441,1588,1903,246
442,1326,2899,0
443,1256,2917,42
444,1456,1880,300
445,1256,2292,263
446,1638,2635,200
447,1235,1609,109
448,1225,1294,9
449,1125,2366,23
450,1053,2315,125
451,1604,2837,294
452,1620,2186,113
453,1561,2765,292
454,1326,2574,287
455,1004,1003,48
456,1588,1960,159
457,1298,2816,219
458,1116,2740,88
459,1029,1596,3
460,1014,2632,44
461,1421,1932,154
462,1142,2493,5
463,1456,1878,95
464,1275,2858,20
465,1281,2603,300
466,1396,1900,242
467,1436,2246,30
468,1552,1494,104
469,1151,2684,168
470,1600,2164,281
471,1478,1283,13
472,1053,2659,91
473,1285,2404,86
474,1346,2576,147
475,1010,1018,219
476,1190,2214,244
477,1482,1911,142
478,1430,2114,73
479,1306,1496,19
480,1115,2363,50
481,1542,2294,160
482,1194,2928,237
483,1020,2612,219
484,1094,2806,258
485,1377,2551,176
486,1372,2809,293
487,1190,1564,126
488,1054,1555,164
489,1501,1276,263
490,1517,2033,202
491,1567,1012,71
492,1127,2657,12
493,1374,2310,293
494,1633,1549,119
495,1364,1771,29
496,1283,2270,228
497,1166,1486,297
498,1183,1797,87
499,1503,1691,71
500,1179,2697,143
501,1318,1187,106
502,1185,1856,65
503,1319,1708,110
504,1261,2446,50
505,1005,2043,240
506,1178,1821,20
507,1201,2703,185
508,1293,1043,283
509,1267,1586,188
510,1584,1823,169
511,1314,2153,102
512,1122,1980,226
513,1618,2825,248
514,1069,2624,231
515,1489,2974,5
516,1156,1922,132
517,1342,1026,133
518,1299,1856,146
519,1528,1412,293
520,1324,2639,21
521,1173,1024,134
522,1281,1602,236
523,1584,1214,50
524,1526,2042,112
525,1258,1454,125
526,1041,2954,209
527,1627,1587,125
528,1630,1334,11
529,1412,1108,124
530,1001,2343,196
531,1469,1905,115
532,1297,2998,74
533,1268,1046,106
534,1278,2263,194
535,1072,2161,38
536,1082,2880,288
537,1057,1983,190
538,1316,2967,48
539,1364,1328,269
540,1019,2692,218
541,1076,2979,277
542,1081,2927,84
543,1278,2694,60
544,1174,1652,0
545,1374,2370,79
546,1532,1749,220
547,1225,2595,94
548,1542,2171,208
549,1173,1981,66
550,1631,1219,129
551,1363,1919,168
552,1539,1186,211
553,1242,2022,263
554,1551,1599,110
555,1358,2608,181
556,1565,2544,183
557,1598,1721,197
558,1399,2875,265
559,1183,2043,150
560,1013,1119,42
561,1588,1969,20
562,1600,1549,233
563,1476,2388,136
564,1279,2789,292
565,1230,2622,149
566,1094,1042,79
567,1076,1389,41
568,1648,2615,174
569,1553,2806,0
570,1094,2906,274
571,1002,2853,76
572,1274,1963,72
573,1061,1280,132
574,1085,2563,162
575,1488,1952,24
576,1347,2976,286
577,1133,2618,113
578,1329,2674,115
579,1589,1241,292
580,1256,2916,243
581,1438,1468,110
582,1194,2532,151
583,1355,1286,164
584,1141,1422,57
585,1370,1858,70
586,1207,1809,274
587,1208,1145,200
588,1196,2697,17
589,1607,1732,26
590,1262,1075,66
591,1049,1963,248
592,1106,2438,293
593,1385,2674,167
594,1287,1901,111
595,1547,2407,9
596,1259,1416,179
597,1361,1057,281
598,1185,2222,64
599,1477,2316,33
600,1268,2213,102
601,1357,1179,242
602,1403,2807,241
603,1569,2920,3
604,1023,1957,163
605,1234,2922,213
606,1407,1702,4
607,1277,1805,1
608,1044,2236,201
609,1342,1608,244
610,1555,1321,283
611,1077,2996,123
612,1363,2321,127
613,1436,2945,180
614,1575,1708,271
615,1241,2901,287
616,1057,2512,247
617,1196,2704,229
618,1257,1450,152
619,1135,1256,225
620,1372,2328,185
621,1216,1098,231
622,1489,1536,298
623,1531,1003,169
624,1513,2039,254
625,1531,1652,133
626,1407,1222,245
627,1040,1426,108
628,1105,1821,275
629,1305,1689,257
630,1438,2305,179
631,1458,2902,281
632,1166,1083,273
633,1054,1344,85
634,1385,2077,279
635,1039,1004,205
636,1424,1836,44
637,1422,1042,202
638,1290,2519,89
639,1214,1016,26
640,1390,1911,72
641,1537,2573,228
642,1029,1563,103
643,1596,2945,257
644,1319,1825,279
645,1418,2527,141
646,1447,1179,105
647,1351,1165,148
648,1458,2483,290
649,1498,1199,3
650,1404,2739,137
651,1465,2799,300
652,1484,2988,273
653,1175,2972,182
654,1228,1148,31
655,1630,1363,101
656,1596,2934,278
657,1532,1808,99
658,1341,1775,117
659,1503,2149,65
660,1053,1620,31
661,1137,2132,259
662,1545,2397,33
663,1644,2694,199
664,1281,1220,249
665,1010,1176,13
666,1258,2743,144
667,1604,1469,150
668,1244,2945,196
669,1374,2886,208
670,1340,2090,147
671,1038,1706,90
672,1263,2342,116
673,1258,1080,183
674,1257,2403,105
675,1568,1875,14
676,1326,2540,47
677,1115,2972,128
678,1460,2373,257
679,1468,1630,64
680,1456,1945,246
681,1254,1051,281
682,1077,1636,281
683,1050,2964,294
684,1546,1125,172
685,1417,2674,189
686,1333,1608,79
687,1404,2927,23
688,1525,2855,284
689,1497,2454,38
690,1080,2387,137
691,1623,1586,45
692,1532,1906,235
693,1611,2682,130
694,1143,1815,2
695,1132,1203,182
696,1230,2246,248
697,1074,2445,207
698,1547,2454,163
699,1369,1047,33
700,1535,2171,91
701,1077,1722,171
702,1039,1870,97
703,1145,1311,235
704,1135,1944,23
705,1515,2670,227
706,1152,2759,178
707,1126,1371,261
708,1144,1853,172
709,1418,2297,244
710,1433,2132,121
711,1143,2634,295
712,1262,2904,171
713,1272,2026,233
714,1588,2790,271
715,1412,1055,116
716,1010,1291,29
717,1607,2651,99
718,1518,1879,209
719,1333,1389,217
720,1531,2375,21
721,1447,1038,241
722,1513,1132,82
723,1046,1118,280
724,1333,2164,71
725,1381,1438,221
726,1353,2487,211
727,1587,1195,155
728,1356,1521,294
729,1070,1657,137
730,1399,2751,51
731,1381,1557,211
732,1272,1318,194
733,1536,2713,219
734,1501,2275,127
735,1313,2762,20
736,1171,2244,127
737,1288,2757,162
738,1003,1739,241
739,1602,2728,74
740,1581,1666,237
741,1067,2314,295
742,1537,2898,153
743,1239,1694,62
744,1011,1366,288
745,1159,1500,36
746,1391,2735,280
747,1061,1186,101
748,1138,1284,138
749,1050,1035,162
750,1470,2905,144
751,1105,1529,219
752,1571,2342,59
753,1071,2041,119
754,1635,2736,23
755,1341,1410,195
756,1455,1952,39
757,1247,1910,198
758,1350,2566,299
759,1366,2536,32
760,1052,2938,191
761,1235,1179,159
762,1335,2127,258
763,1551,1523,160
764,1114,2903,52
765,1234,1909,98
766,1510,2497,222
767,1044,2714,2
768,1611,2273,284
769,1456,2040,176
770,1141,1916,104
771,1616,1016,94
772,1562,1995,199
773,1171,2627,63
774,1262,1520,292
775,1023,2846,119
776,1117,1158,223
777,1140,2960,249
778,1640,1709,206
779,1515,1990,40
780,1212,1601,8
781,1075,2260,170
782,1521,1185,233
783,1587,2646,176
784,1403,1889,173
785,1050,1194,268
786,1342,2648,161
787,1534,1798,237
788,1265,2037,80
789,1445,1038,154
790,1539,2859,181
791,1009,1990,0
792,1507,1747,240
793,1109,2898,43
794,1588,2254,56
795,1121,1534,118
796,1407,1199,250
797,1169,2842,116
798,1196,1168,280
799,1470,2095,21
800,1238,2591,289
801,1649,1809,200
802,1340,1593,27
803,1540,2606,108
804,1218,1337,220
805,1170,1607,127
806,1164,2095,249
807,1496,1860,285
808,1292,1441,15
809,1543,2504,36
810,1624,1307,18
811,1349,2819,61
812,1293,2269,164
813,1265,2019,50
814,1207,1139,149
815,1090,1491,243
816,1200,2403,77
817,1342,2094,212
818,1006,2365,257
819,1021,1204,296
820,1581,1869,89
821,1272,2234,112
822,1168,2902,246
823,1414,2677,265
824,1151,1314,100
825,1602,2229,141
826,1109,1490,174
827,1394,1784,47
828,1530,2559,118
829,1028,2976,218
830,1644,2201,216
831,1202,1806,104
832,1165,2026,9
833,1063,1808,238
834,1197,2419,205
835,1437,1834,96
836,1626,2585,248
837,1430,2671,189
838,1154,2940,222
839,1265,1757,218
840,1362,2721,165
841,1123,1333,30
842,1461,1011,40
843,1020,2833,159
844,1476,1683,267
845,1207,1519,48
846,1570,2966,278
847,1134,1371,35
848,1331,1907,209
849,1344,1929,280
850,1001,1011,246
851,1272,2582,61
852,1645,1016,257
853,1174,1075,237
854,1325,1870,165
855,1075,2379,228
856,1203,1424,261
857,1591,2051,28
858,1465,2942,289
859,1465,2400,126
860,1308,2512,47
861,1239,2833,139
862,1022,2100,11
863,1456,2620,259
864,1119,2367,205
865,1552,1911,241
866,1577,1699,273
867,1491,1928,127
868,1177,2013,21
869,1316,2021,200
870,1064,2542,298
871,1628,2023,217
872,1546,2644,251
873,1575,1864,164
874,1002,1382,192
875,1310,1681,19
876,1257,2291,180
877,1103,1977,158
878,1590,2111,52
879,1458,2406,265
880,1249,2859,75
881,1210,2670,80
882,1163,1016,198
883,1222,1612,136
884,1602,2010,267
885,1312,1971,27
886,1631,1965,278
887,1547,2040,7
888,1567,1878,135
889,1150,1903,30
890,1346,2411,110
891,1384,1118,53
892,1078,2355,137
893,1210,1733,35
894,1291,1183,47
895,1382,1493,202
896,1113,1418,268
897,1618,2433,186
898,1523,1120,65
899,1559,1908,211
900,1479,1525,164
901,1507,2169,74
902,1193,2584,289
903,1529,1524,51
904,1533,2873,114
905,1208,1695,51
906,1591,1219,265
907,1065,1353,152
908,1396,2968,258
909,1490,2859,179
910,1097,2867,170
911,1425,2185,239
912,1510,2817,178
913,1510,1692,17
914,1434,2239,91
915,1594,1486,85
916,1418,2818,279
917,1569,2289,149
918,1171,1558,160
919,1549,1630,260
920,1092,1051,19
921,1278,2393,82
922,1032,1094,101
923,1434,2069,101
924,1559,1725,273
925,1527,2322,190
926,1650,2148,149
927,1634,2502,246
928,1466,2880,88
929,1333,1332,67
930,1309,2195,242
931,1564,2478,5
932,1446,2961,115
933,1085,1966,98
934,1304,1775,170
935,1471,2685,289
936,1361,1509,166
937,1060,1476,75
938,1145,2028,95
939,1487,2712,283
940,1231,1944,296
941,1321,2519,84
942,1140,2484,183
943,1553,1705,81
944,1585,2741,267
945,1219,1775,57
946,1604,2857,88
947,1440,2027,163
948,1069,1965,6
949,1296,2122,60
950,1256,2825,106
951,1216,1762,53
952,1568,2118,265
953,1482,2341,225
954,1601,1392,108
955,1129,2716,287
956,1084,1801,171
957,1317,1244,114
958,1055,1650,137
959,1348,1044,110
960,1257,2414,147
961,1288,2670,85
962,1064,1394,128
963,1125,2330,297
964,1386,2417,267
965,1565,2913,80
966,1334,1393,267
967,1136,1082,67
968,1472,2161,198
969,1067,1801,48
970,1585,1952,157
971,1421,2662,25
972,1078,1190,167
973,1143,1540,275
974,1121,2364,264
975,1175,2210,3
976,1375,2642,46
977,1024,2217,68
978,1482,1659,222
979,1097,2979,241
980,1614,2943,258
981,1158,2888,165
982,1575,1695,230
983,1277,2421,252
984,1042,2172,211
985,1589,2045,164
986,1095,1897,121
987,1596,1175,299
988,1386,2088,9
989,1582,1930,84
990,1625,1984,23
991,1251,2125,149
992,1221,2502,31
993,1621,1264,120
994,1580,1560,10
995,1601,1810,223
996,1611,2667,4
997,1316,2465,238
998,1182,2759,159
999,1123,2615,255
1000,1058,2366,225
1001,1189,2682,15
1002,1648,1233,76
1003,1424,1250,113
1004,1288,2879,91
1005,1245,2554,261
1006,1280,1022,19
1007,1554,2277,159
1008,1600,1968,170
1009,1159,2879,34
1010,1127,1621,257
1011,1120,2324,248
1012,1300,1474,253
1013,1004,2004,2
1014,1395,1874,160
1015,1642,1242,55
1016,1072,2051,73
1017,1603,2748,158
1018,1223,2203,235
1019,1098,2465,187
1020,1519,1081,283
1021,1497,2888,29
1022,1617,1440,74
1023,1477,2748,124
1024,1331,2831,211
1025,1054,2407,173
1026,1297,1727,291
1027,1377,1158,297
1028,1054,2534,51
1029,1469,1817,193
1030,1080,2994,18
1031,1499,2126,112
1032,1406,2363,179
1033,1262,1235,149
1034,1443,1334,164
1035,1263,1592,156
1036,1246,1178,43
1037,1118,2063,245
1038,1428,1391,256
1039,1513,1824,214
1040,1519,2395,102
1041,1310,1039,104
1042,1481,2596,30
1043,1628,1998,256
1044,1455,2336,293
1045,1297,1364,142
1046,1244,2803,175
1047,1073,1359,13
1048,1590,2152,59
1049,1287,1371,239
1050,1337,1583,0
1051,1359,2081,258
1052,1274,1957,60
1053,1528,1106,145
1054,1208,2556,147
1055,1625,2714,23
1056,1103,2463,124
1057,1643,2334,160
1058,1486,1891,76
1059,1044,2932,47
1060,1488,2602,72
1061,1521,1525,13
1062,1485,2136,110
1063,1534,2733,80
1064,1508,1155,38
1065,1624,1199,293
1066,1532,1977,269
1067,1388,1077,200
1068,1459,1929,221
1069,1557,2299,124
1070,1171,1822,159
1071,1374,1394,172
1072,1590,1053,225
1073,1506,2829,86
1074,1040,1737,0
1075,1458,2127,0
1076,1361,2619,210
1077,1165,1340,151
1078,1643,1230,142
1079,1422,1049,186
1080,1489,1697,251
1081,1304,1226,234
1082,1503,2628,2
1083,1594,1194,213
1084,1513,1673,182
1085,1556,2043,55
1086,1049,1525,236
1087,1090,2025,47
1088,1620,2462,256
1089,1644,1706,144
1090,1138,1618,1
1091,1214,2828,83
1092,1446,1923,88
1093,1306,2370,97
1094,1415,1823,203
1095,1628,2615,151
1096,1485,1909,83
1097,1288,2636,168
1098,1344,1185,133
1099,1239,2967,83
1100,1045,1033,37
1101,1528,1566,271
1102,1376,2054,88
1103,1237,2152,148
1104,1297,1276,159
1105,1137,1526,184
1106,1645,1868,151
1107,1531,1188,292
1108,1503,2897,156
1109,1014,1796,257
1110,1500,2750,244
1111,1506,2063,168
1112,1631,2277,22
1113,1442,2145,42
1114,1605,2860,199
1115,1162,2565,223
1116,1391,2381,51
1117,1432,1244,125
1118,1415,1195,216
1119,1019,1406,290
1120,1179,1427,29
1121,1083,2896,19
1122,1643,2706,208
1123,1386,1496,66
1124,1513,2788,129
1125,1056,2396,240
1126,1042,2965,93
1127,1017,2062,36
1128,1405,2418,287
1129,1436,2189,195
1130,1229,2301,75
1131,1326,1917,205
1132,1197,1530,209
1133,1172,1567,141
1134,1447,2614,76
1135,1365,1805,127
1136,1250,1572,231
1137,1391,2502,18
1138,1334,2945,19
1139,1113,2989,238
1140,1425,1885,57
1141,1621,2675,217
1142,1257,2219,272
1143,1636,2730,163
1144,1137,1831,38
1145,1344,1401,196
1146,1293,2500,140
1147,1107,2119,123
1148,1368,1963,194
1149,1649,1942,47
1150,1442,2114,294
1151,1527,2179,279
1152,1155,1503,145
1153,1454,1866,216
1154,1322,2474,45
1155,1077,1958,23
1156,1025,1324,234
1157,1217,1250,17
1158,1451,2677,3
1159,1103,1580,131
1160,1508,1836,109
1161,1547,2445,92
1162,1643,2003,298
1163,1350,2320,230
1164,1265,2495,94
1165,1437,1051,153
1166,1439,1711,291
1167,1350,1521,221
1168,1098,2740,93
1169,1242,2717,295
1170,1249,2179,161
1171,1358,2023,183
1172,1428,1901,50
1173,1235,2107,240
1174,1258,2393,132
1175,1244,1306,115
1176,1063,2628,281
1177,1030,2216,37
1178,1243,2128,218
1179,1203,1513,155
1180,1051,1439,121
1181,1594,1460,195
1182,1101,1185,174
1183,1487,1917,215
1184,1197,1906,81
1185,1399,2750,83
1186,1258,2156,166
1187,1190,1602,219
1188,1347,1976,168
1189,1306,1100,54
1190,1586,1265,162
1191,1202,1699,142
1192,1588,1713,82
1193,1338,2209,114
1194,1127,2151,27
1195,1092,2056,249
1196,1327,2053,200
1197,1256,2631,224
1198,1096,2103,87
1199,1118,2079,8
1200,1627,2916,189
1201,1384,1484,172
1202,1398,2768,60
1203,1402,1457,19
1204,1272,2215,253
1205,1108,1525,65
1206,1580,1920,66
1207,1071,1775,288
1208,1122,2585,102
1209,1558,1838,129
1210,1026,1732,54
1211,1604,1127,292
1212,1643,2917,119
1213,1194,2170,234
1214,1293,1567,102
1215,1240,1386,171
1216,1303,2216,189
1217,1359,2116,251
1218,1559,1481,25
1219,1317,2372,50
1220,1544,2467,285
1221,1614,1053,238
1222,1004,2137,52
1223,1385,1072,241
1224,1109,2143,254
1225,1274,1896,187
1226,1485,1466,221
1227,1302,2090,254
1228,1196,1204,70
1229,1107,1052,247
1230,1054,2006,66
1231,1409,2003,77
1232,1018,1586,237
1233,1310,2385,266
1234,1393,1097,180
1235,1387,2415,177
1236,1608,2296,93
1237,1514,1876,224
1238,1359,2971,43
1239,1615,2026,90
1240,1103,2112,47
1241,1133,1544,241
1242,1338,1660,252
1243,1159,1011,61
1244,1338,2539,93
1245,1515,1691,84
1246,1564,1828,121
1247,1600,2219,92
1248,1544,1842,235
1249,1512,2074,29
1250,1473,2642,293
1251,1344,2039,106
1252,1044,1808,273
1253,1490,2087,211
1254,1272,1617,4
1255,1461,1016,189
1256,1122,2066,234
1257,1649,1102,85
1258,1621,2663,38
1259,1153,1539,1
1260,1052,1614,135
1261,1635,2856,161
1262,1523,1797,196
1263,1531,1660,77
1264,1598,2629,114
1265,1241,1127,25
1266,1124,1667,282
1267,1635,1438,39
1268,1135,2027,234
1269,1098,1522,60
1270,1076,1482,5
1271,1239,2393,201
1272,1605,1690,1
1273,1518,1787,53
1274,1133,2323,94
1275,1367,1650,72
1276,1081,1729,293
1277,1044,2631,133
1278,1119,1794,32
1279,1569,1928,256
1280,1091,2607,18
1281,1299,1290,32
1282,1489,1940,205
1283,1568,1998,249
1284,1098,1895,215
1285,1482,2998,262
1286,1582,1643,197
1287,1054,1563,195
1288,1640,1184,268
1289,1276,1760,247
1290,1065,2108,168
1291,1303,2932,169
1292,1501,2461,5
1293,1491,1245,99
1294,1564,2412,140
1295,1221,2400,81
1296,1337,1487,52
1297,1104,2941,208
1298,1636,1465,40
1299,1590,2961,122
1300,1013,1308,167
1301,1311,1954,27
1302,1086,2184,68
1303,1108,1566,140
1304,1428,2875,180
1305,1271,2632,228
1306,1437,1593,150
1307,1281,1109,280
1308,1493,1546,126
1309,1094,2948,84
1310,1286,2259,115
1311,1320,1099,74
1312,1206,2345,119
1313,1573,2948,113
1314,1318,2735,75
1315,1536,2231,295
1316,1317,1199,96
1317,1302,1929,286
1318,1175,1995,235
1319,1393,1176,223
1320,1614,1706,135
1321,1201,2032,106
1322,1552,2538,256
1323,1317,2106,70
1324,1608,1114,298
1325,1137,1731,133
1326,1215,1907,68
1327,1609,2472,10
1328,1329,2427,156
1329,1330,1163,10
1330,1103,2316,117
1331,1338,2507,5
1332,1462,1514,278
1333,1612,1312,140
1334,1326,1436,57
1335,1293,1665,205
1336,1356,1579,135
1337,1501,2229,286
1338,1438,1469,180
1339,1558,1534,57
1340,1350,2341,299
1341,1632,1123,161
1342,1290,1425,225
1343,1535,2534,83
1344,1213,1519,183
1345,1423,2889,208
1346,1353,1996,148
1347,1152,1872,53
1348,1484,2207,299
1349,1552,2264,123
1350,1542,1960,284
1351,1053,2148,97
1352,1034,2907,6
1353,1134,1452,254
1354,1426,2061,286
1355,1570,1322,124
1356,1176,1320,222
1357,1293,1361,204
1358,1431,2003,184
1359,1152,2564,250
1360,1462,2579,152
